,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url
0,1127948727660961792,1127946700813770752,1557758907000,2019-05-13,21:48:27,WIB,1118865253305999360,xxdhean,BUNDANYA BYOUNGGON ☄,,"Hari selasa babe YG bikin ""new line up"" gue misuh misuh, mikirin perasaannya gon. Gimana kalo gue ada di keadaan dia yang serba salah kaya raisa gitu. Gue sih hopeless pengen bunuh diri T_T",,[],[],1,0,0,,[],https://twitter.com/xxdhean/status/1127948727660961792,,,0,https://pbs.twimg.com/profile_images/1126983737726554112/hUh8FMF_.jpg
3,1127896201230032896,1127896201230032896,1557746384000,2019-05-13,18:19:44,WIB,80029283,raishaula,Raisha Ula,,"Brgini ternyata rasanya percaya cerita masalah ke 1orang, sampe nangis tapi jawabnya cuma....  ""yah terserah, hidup2 kamu""  Sumpah rasanya pengen bunuh diri tau....",,[],[],1,0,0,,[],https://twitter.com/raishaula/status/1127896201230032896,,,0,https://pbs.twimg.com/profile_images/1105910672494288896/QBKquzDq.jpg
4,1127885187461697537,1127883684994899968,1557743758000,2019-05-13,17:35:58,WIB,710061963175309312,bung_tahu,Look,,Ada ga ya twitternya bili... Pengen bilangin doang bahwa gue ga ngurus dan ga peduli billy mau nikah... Mau mati.... Atau mau bunuh diri... Yg gue tunggu2... Billy jd sampah masyarakat saja karena ga berbakat muncul di tipi,['vivacoid'],[],[],0,0,0,,[],https://twitter.com/Bung_tahu/status/1127885187461697537,,,0,https://pbs.twimg.com/profile_images/1127896513009471489/ah2Xbl68.jpg
5,1127852789374144512,1127852789374144512,1557736034000,2019-05-13,15:27:14,WIB,2791266684,au_ah_elap06,GATAUAH,,"Gw sama kaya ka karin ngerti ttng depresi pas kls 1 smk, sering bngt pengen bunuh diri, serasa ga berguna bngt didunia, terus gw dkt sama Allah dan emng bener gw jadi tenang tapi ttp aja gw butuh orang buat mensupport! Dan sampe skrng blm sempet ke psikologi T_T  https://twitter.com/awkarin/status/1127400518383366144 …",,['https://twitter.com/awkarin/status/1127400518383366144'],[],0,0,0,,[],https://twitter.com/AU_AH_ELAP06/status/1127852789374144512,,https://twitter.com/awkarin/status/1127400518383366144,0,https://pbs.twimg.com/profile_images/1122516287639285761/i2hOfWNx.jpg
6,1127793687516336129,1127793687516336129,1557721943000,2019-05-13,11:32:23,WIB,1047208017064689664,askfess,ASKFESS,,#mnfs tb² pengen bunuh diri,,[],[],25,0,5,,['#mnfs'],https://twitter.com/askfess/status/1127793687516336129,,,0,https://pbs.twimg.com/profile_images/1095868225353478145/OgXxj9gc.png
8,1127613225476820993,1127400518383366144,1557678917000,2019-05-12,23:35:17,WIB,605284665,rindangsaja_,Rindeng,,"aku ga sampe ke titik pengen bunuh diri sih, masih belom siap ngadep Tuhan, dosa masih banyak, tapi stress ama sedih yang dateng gatau waktu itu ganggu banget, literally ga tau waktu, ngerusak aktivitas normal ku banget, ganggu fokus ganggu kuliah ganggu kebahagiaan hidupku.",['awkarin'],[],[],0,0,0,,[],https://twitter.com/rindangsaja_/status/1127613225476820993,,,0,https://pbs.twimg.com/profile_images/1079761073639550978/kjGCBDSc.jpg
10,1127594527408025600,1127594527408025600,1557674459000,2019-05-12,22:20:59,WIB,288576088,sharonsakbana,EstherSharonS,,"Pernah ga sih kamu ngerasain titik dimana kamu pengen bunuh diri, karna ga sanggup lagi sama beban yg udah lama kamu rasain😊 — god is my strength and power, gue pun pernah  ngalamin dimana ada dititik down dalam hidup, sedih ? Iya .kecewa? Banget. Depr…  https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NMZSATZPYVRTA6LA5SD7SKJPN2ZEY5KMYNNRKMSRRQL6YPKEACI5WD4V27Y4YO4R56M3ZLDERR5QAQFPSOBJRSII6PDGJAKIXVT6MPZSJQQKQI2AIT7PAC7J4NJSCQIQSQ6HDHV4ETYCPE763JWKQ3AY66BFUGXXFF6FPI74NBWJQOCOTOXZF4FMLIAA4EGCHOIHKE6=== …",,['https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NMZSATZPYVRTA6LA5SD7SKJPN2ZEY5KMYNNRKMSRRQL6YPKEACI5WD4V27Y4YO4R56M3ZLDERR5QAQFPSOBJRSII6PDGJAKIXVT6MPZSJQQKQI2AIT7PAC7J4NJSCQIQSQ6HDHV4ETYCPE763JWKQ3AY66BFUGXXFF6FPI74NBWJQOCOTOXZF4FMLIAA4EGCHOIHKE6==='],[],0,0,0,,[],https://twitter.com/SharonSakbana/status/1127594527408025600,,,0,https://pbs.twimg.com/profile_images/1077972091155013632/YnD88gzL.jpg
11,1127567707514105856,1127567707514105856,1557668065000,2019-05-12,20:34:25,WIB,1120981722,ethaeraltae,manda,,pengen mati tp bunuh diri dosa gmn y,,[],[],0,0,0,,[],https://twitter.com/ethaeraltae/status/1127567707514105856,,,0,https://pbs.twimg.com/profile_images/1122178981464166401/OfwmHseG.jpg
12,1127550131128037376,1127550131128037376,1557663874000,2019-05-12,19:24:34,WIB,321385800,jxxttxx,joetta,,Pengen mati tapi ga pengen bunuh diri,,[],[],0,0,0,,[],https://twitter.com/jxxttxx/status/1127550131128037376,,,0,https://pbs.twimg.com/profile_images/1126952149085114368/gpbDh08n.jpg
15,1127499118224396289,1127482337669738496,1557651712000,2019-05-12,16:01:52,WIB,1120362903968686081,romy59555483,romy,,Pengen bilang bunuh diri tapi nanti psti dikecam orang2 pengamat sosial :(,['fanbasebokep2'],[],[],0,0,0,,[],https://twitter.com/romy59555483/status/1127499118224396289,,,0,https://pbs.twimg.com/profile_images/1123972503423074307/ox-L0Dw0.jpg
